2014-12-15,7311.00
2014-12-16,7214.00
2014-12-17,7143.00
2014-12-18,7250.00
2014-12-19,7562.00
2014-12-22,7535.00
2014-12-24,7657.00
2014-12-25,7611.00
2014-12-26,7696.00
2014-12-29,7662.00
2014-12-30,7558.00
2015-01-05,7507.00
2015-01-06,7300.00
2015-01-07,7407.00
2015-01-08,7554.00
2015-01-09,7609.00
2015-01-13,7519.00
2015-01-14,7396.00
2015-01-15,7526.00
2015-01-16,7514.00
2015-01-19,7465.00
2015-01-20,7659.00
2015-01-21,7588.00
2015-01-22,7585.00
2015-01-23,7685.00
2015-01-26,7725.00
2015-01-27,7825.00
2015-01-28,7818.00
2015-01-29,7729.00
2015-01-30,7645.00
2015-02-02,7660.00
2015-02-03,7550.00
2015-02-04,7728.00
2015-02-05,7654.00
2015-02-06,7623.00
2015-02-09,7700.00
2015-02-10,7713.00
2015-02-12,7851.00
2015-02-13,7808.00
2015-02-16,7829.00
2015-02-17,7802.00
2015-02-18,7959.00
2015-02-19,7998.00
2015-02-20,8078.00
2015-02-23,8130.00
2015-02-24,8201.00
2015-02-25,8127.00
2015-02-26,8126.00
2015-02-27,8063.00
2015-03-02,8125.00
2015-03-03,8136.00
2015-03-04,8112.00
2015-03-05,8063.00
2015-03-06,8190.00
2015-03-09,8193.00
2015-03-10,8178.00
2015-03-11,8158.00
2015-03-12,8258.00
2015-03-13,8257.00
2015-03-16,8280.00
2015-03-17,8338.00
2015-03-18,8463.00
2015-03-19,8491.00
2015-03-20,8598.00
2015-03-23,8741.00
2015-03-24,8689.00
2015-03-25,8695.00
2015-03-26,8605.00
2015-03-27,8481.00
2015-03-30,8426.00
2015-03-31,8383.00
2015-04-01,8236.00
2015-04-02,8377.00
2015-04-03,8426.00
2015-04-06,8333.00
2015-04-07,8410.00
2015-04-08,8372.00
2015-04-09,8367.00
2015-04-10,8326.00
2015-04-13,8248.00
2015-04-14,8285.00
2015-04-15,8273.00
2015-04-16,8309.00
2015-04-17,8297.00
2015-04-20,8262.00
2015-04-21,8447.00
2015-04-22,8462.00
2015-04-23,8478.00
2015-04-24,8413.00
2015-04-27,8340.00
2015-04-28,8515.00
2015-04-30,8358.00
2015-05-01,8315.00
2015-05-07,8214.00
2015-05-08,8279.00
2015-05-11,8235.00
